Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS0579	Duplicate 'System.Reflection.AssemblyConfigurationAttribute' attribute	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\obj\Debug\net8.0-windows\LineManagementSystem.AssemblyInfo.cs	15	
Message (active)	CA1866	The char overload is a better performing overload than a string with a single char.	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\src\Converters\ColorConverter.cs	11	
Error (active)	CS0579	Duplicate 'System.Reflection.AssemblyCompanyAttribute' attribute	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\obj\Debug\net8.0-windows\LineManagementSystem.AssemblyInfo.cs	14	
Error (active)	CS0579	Duplicate 'System.Reflection.AssemblyFileVersionAttribute' attribute	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\obj\Debug\net8.0-windows\LineManagementSystem.AssemblyInfo.cs	16	
Error (active)	CS0579	Duplicate 'System.Reflection.AssemblyInformationalVersionAttribute' attribute	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\obj\Debug\net8.0-windows\LineManagementSystem.AssemblyInfo.cs	17	
Error (active)	CS0579	Duplicate 'System.Reflection.AssemblyProductAttribute' attribute	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\obj\Debug\net8.0-windows\LineManagementSystem.AssemblyInfo.cs	18	
Error (active)	CS0579	Duplicate 'System.Reflection.AssemblyTitleAttribute' attribute	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\obj\Debug\net8.0-windows\LineManagementSystem.AssemblyInfo.cs	19	
Error (active)	CS0579	Duplicate 'System.Reflection.AssemblyVersionAttribute' attribute	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\obj\Debug\net8.0-windows\LineManagementSystem.AssemblyInfo.cs	20	
Error (active)	CS0579	Duplicate 'System.Runtime.Versioning.TargetPlatformAttribute' attribute	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\obj\Debug\net8.0-windows\LineManagementSystem.AssemblyInfo.cs	21	
Message (active)	IDE0028	Collection initialization can be simplified	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\src\Models\LineGroup.cs	40	
Message (active)	IDE0130	Namespace "LineManagementSystem.Converters" does not match folder structure, expected "LineManagementSystem.src.Converters"	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\src\Converters\ColorConverter.cs	5	
Message (active)	IDE0130	Namespace "LineManagementSystem.Models" does not match folder structure, expected "LineManagementSystem.src.Models"	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\src\Models\Alert.cs	1	
Message (active)	IDE0130	Namespace "LineManagementSystem.Models" does not match folder structure, expected "LineManagementSystem.src.Models"	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\src\Models\GroupStatus.cs	1	
Message (active)	IDE0130	Namespace "LineManagementSystem.Models" does not match folder structure, expected "LineManagementSystem.src.Models"	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\src\Models\LineGroup.cs	3	
Message (active)	IDE0130	Namespace "LineManagementSystem.Models" does not match folder structure, expected "LineManagementSystem.src.Models"	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\src\Models\PhoneLine.cs	3	
Message (active)	IDE0130	Namespace "LineManagementSystem.Services" does not match folder structure, expected "LineManagementSystem.src.Services"	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\src\Services\GroupService.cs	4	
Message (active)	IDE0130	Namespace "LineManagementSystem.ViewModels" does not match folder structure, expected "LineManagementSystem.src.ViewModels"	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\src\ViewModels\RelayCommand.cs	3	
Message (active)	IDE0290	Use primary constructor	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\src\Services\GroupService.cs	10	
Message (active)	IDE0290	Use primary constructor	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\src\ViewModels\RelayCommand.cs	10	
Message (active)	IDE0290	Use primary constructor	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\src\ViewModels\RelayCommand.cs	32	
Message (active)	IDE0305	Collection initialization can be simplified	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\src\Services\GroupService.cs	21	
Warning (active)	NU1900	Error occurred while getting package vulnerability data: Unable to load the service index for source https://api.nuget.org/v3/index.json.	LineManagementSystem	C:\Users\abdue\source\repos\Ahmed_Elsisi\LineManagementSystem.csproj	1	
